timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1723640188368,3,Tnx_01_Launch,200,"Number of samples in transaction : 1, number of failing samples : 0",script_1 1-10,,true,,6401,651,1,1,null,0,1,1
1723640188369,3,HTTP Request,200,OK,script_1 1-10,text,true,,6401,651,1,1,http://localhost/banking/,3,0,1
1723640188373,6,Tnx_02_Click_open_Acc,200,"Number of samples in transaction : 3, number of failing samples : 0",script_1 1-10,,true,,22844,3473,1,1,null,0,1,0
1723640188373,1,HTTP Request,200,OK,script_1 1-10,text,true,,6969,689,1,1,http://localhost/banking/customer_reg_form.php,1,0,0
1723640188375,3,HTTP Request,200,OK,script_1 1-10,text,true,,11525,2000,1,1,http://localhost/banking/cust_regfrm_confirm.php,2,0,0
1723640188375,2,HTTP Request-0,302,Found,script_1 1-10,text,true,,7175,1141,1,1,http://localhost/banking/customer_reg_form.php,2,0,0
1723640188377,1,HTTP Request-1,200,OK,script_1 1-10,text,true,,4350,859,1,1,http://localhost/banking/cust_regfrm_confirm.php,1,0,0
1723640188378,2,HTTP Request,200,OK,script_1 1-10,text,true,,4350,784,1,1,http://localhost/banking/cust_regfrm_confirm.php,2,0,0
1723640188380,8,Tnx_03_view_acc_details_n_submit,200,"Number of samples in transaction : 2, number of failing samples : 0",script_1 1-10,,true,,10985,1628,1,1,null,0,3,0
1723640188380,7,HTTP Request,200,OK,script_1 1-10,text,true,,4585,902,1,1,http://localhost/banking/cust_regfrm_confirm.php,7,0,0
1723640188390,1,HTTP Request,200,OK,script_1 1-10,text,true,,6400,726,1,1,http://localhost/banking/index.php,1,0,0
1723640218366,1,Tnx_01_Launch,200,"Number of samples in transaction : 1, number of failing samples : 0",script_1 1-9,,true,,6401,651,2,2,null,0,2,0
1723640218368,1,HTTP Request,200,OK,script_1 1-9,text,true,,6401,651,2,2,http://localhost/banking/,1,0,0
1723640218372,5,Tnx_02_Click_open_Acc,200,"Number of samples in transaction : 3, number of failing samples : 0",script_1 1-9,,true,,22840,3471,2,2,null,0,1,0
1723640218372,1,HTTP Request,200,OK,script_1 1-9,text,true,,6969,689,2,2,http://localhost/banking/customer_reg_form.php,1,0,0
1723640218373,3,HTTP Request,200,OK,script_1 1-9,text,true,,11523,1998,2,2,http://localhost/banking/cust_regfrm_confirm.php,2,0,0
1723640218373,2,HTTP Request-0,302,Found,script_1 1-9,text,true,,7175,1139,2,2,http://localhost/banking/customer_reg_form.php,2,0,0
1723640218375,1,HTTP Request-1,200,OK,script_1 1-9,text,true,,4348,859,2,2,http://localhost/banking/cust_regfrm_confirm.php,1,0,0
1723640218376,1,HTTP Request,200,OK,script_1 1-9,text,true,,4348,784,2,2,http://localhost/banking/cust_regfrm_confirm.php,1,0,0
1723640218379,8,Tnx_03_view_acc_details_n_submit,200,"Number of samples in transaction : 2, number of failing samples : 0",script_1 1-9,,true,,10983,1628,2,2,null,0,3,0
1723640218379,6,HTTP Request,200,OK,script_1 1-9,text,true,,4583,902,2,2,http://localhost/banking/cust_regfrm_confirm.php,6,0,0
1723640218388,2,HTTP Request,200,OK,script_1 1-9,text,true,,6400,726,2,2,http://localhost/banking/index.php,2,0,0
1723640248367,3,Tnx_01_Launch,200,"Number of samples in transaction : 1, number of failing samples : 0",script_1 1-8,,true,,6401,651,3,3,null,0,1,2
1723640248368,3,HTTP Request,200,OK,script_1 1-8,text,true,,6401,651,3,3,http://localhost/banking/,3,0,2
1723640248371,7,Tnx_02_Click_open_Acc,200,"Number of samples in transaction : 3, number of failing samples : 0",script_1 1-8,,true,,22838,3470,3,3,null,0,0,0
1723640248371,2,HTTP Request,200,OK,script_1 1-8,text,true,,6969,689,3,3,http://localhost/banking/customer_reg_form.php,2,0,0
1723640248373,3,HTTP Request,200,OK,script_1 1-8,text,true,,11522,1997,3,3,http://localhost/banking/cust_regfrm_confirm.php,2,0,0
1723640248373,2,HTTP Request-0,302,Found,script_1 1-8,text,true,,7175,1138,3,3,http://localhost/banking/customer_reg_form.php,2,0,0
1723640248375,1,HTTP Request-1,200,OK,script_1 1-8,text,true,,4347,859,3,3,http://localhost/banking/cust_regfrm_confirm.php,1,0,0
1723640248376,2,HTTP Request,200,OK,script_1 1-8,text,true,,4347,784,3,3,http://localhost/banking/cust_regfrm_confirm.php,2,0,0
1723640248378,8,Tnx_03_view_acc_details_n_submit,200,"Number of samples in transaction : 2, number of failing samples : 0",script_1 1-8,,true,,10982,1628,3,3,null,0,6,0
1723640248378,7,HTTP Request,200,OK,script_1 1-8,text,true,,4582,902,3,3,http://localhost/banking/cust_regfrm_confirm.php,7,0,0
1723640248391,1,HTTP Request,200,OK,script_1 1-8,text,true,,6400,726,3,3,http://localhost/banking/index.php,1,0,0
1723640278366,2,Tnx_01_Launch,200,"Number of samples in transaction : 1, number of failing samples : 0",script_1 1-7,,true,,6401,651,4,4,null,0,1,0
1723640278367,2,HTTP Request,200,OK,script_1 1-7,text,true,,6401,651,4,4,http://localhost/banking/,2,0,0
1723640278369,11,Tnx_02_Click_open_Acc,200,"Number of samples in transaction : 3, number of failing samples : 0",script_1 1-7,,true,,22840,3471,4,4,null,0,0,0
1723640278369,2,HTTP Request,200,OK,script_1 1-7,text,true,,6969,689,4,4,http://localhost/banking/customer_reg_form.php,2,0,0
1723640278371,6,HTTP Request,200,OK,script_1 1-7,text,true,,11523,1998,4,4,http://localhost/banking/cust_regfrm_confirm.php,2,0,0
1723640278371,2,HTTP Request-0,302,Found,script_1 1-7,text,true,,7175,1139,4,4,http://localhost/banking/customer_reg_form.php,2,0,0
1723640278374,3,HTTP Request-1,200,OK,script_1 1-7,text,true,,4348,859,4,4,http://localhost/banking/cust_regfrm_confirm.php,3,0,0
1723640278377,3,HTTP Request,200,OK,script_1 1-7,text,true,,4348,784,4,4,http://localhost/banking/cust_regfrm_confirm.php,3,0,0
1723640278380,12,Tnx_03_view_acc_details_n_submit,200,"Number of samples in transaction : 2, number of failing samples : 0",script_1 1-7,,true,,10983,1628,4,4,null,0,4,0
1723640278380,10,HTTP Request,200,OK,script_1 1-7,text,true,,4583,902,4,4,http://localhost/banking/cust_regfrm_confirm.php,10,0,0
1723640278394,2,HTTP Request,200,OK,script_1 1-7,text,true,,6400,726,4,4,http://localhost/banking/index.php,2,0,0
1723640308367,1,Tnx_01_Launch,200,"Number of samples in transaction : 1, number of failing samples : 0",script_1 1-6,,true,,6401,651,5,5,null,0,1,0
1723640308368,1,HTTP Request,200,OK,script_1 1-6,text,true,,6401,651,5,5,http://localhost/banking/,1,0,0
1723640308370,5,Tnx_02_Click_open_Acc,200,"Number of samples in transaction : 3, number of failing samples : 0",script_1 1-6,,true,,22836,3469,5,5,null,0,0,0
1723640308370,1,HTTP Request,200,OK,script_1 1-6,text,true,,6969,689,5,5,http://localhost/banking/customer_reg_form.php,1,0,0
1723640308371,3,HTTP Request,200,OK,script_1 1-6,text,true,,11521,1996,5,5,http://localhost/banking/cust_regfrm_confirm.php,1,0,0
1723640308371,1,HTTP Request-0,302,Found,script_1 1-6,text,true,,7175,1137,5,5,http://localhost/banking/customer_reg_form.php,1,0,0
1723640308373,1,HTTP Request-1,200,OK,script_1 1-6,text,true,,4346,859,5,5,http://localhost/banking/cust_regfrm_confirm.php,1,0,0
1723640308374,1,HTTP Request,200,OK,script_1 1-6,text,true,,4346,784,5,5,http://localhost/banking/cust_regfrm_confirm.php,1,0,0
1723640308375,6,Tnx_03_view_acc_details_n_submit,200,"Number of samples in transaction : 2, number of failing samples : 0",script_1 1-6,,true,,10981,1628,5,5,null,0,3,0
1723640308376,5,HTTP Request,200,OK,script_1 1-6,text,true,,4581,902,5,5,http://localhost/banking/cust_regfrm_confirm.php,5,0,0
1723640308383,1,HTTP Request,200,OK,script_1 1-6,text,true,,6400,726,5,5,http://localhost/banking/index.php,1,0,0
1723640338395,5,Tnx_01_Launch,200,"Number of samples in transaction : 1, number of failing samples : 0",script_1 1-5,,true,,6401,651,6,6,null,0,1,2
1723640338396,5,HTTP Request,200,OK,script_1 1-5,text,true,,6401,651,6,6,http://localhost/banking/,5,0,2
1723640338401,12,Tnx_02_Click_open_Acc,200,"Number of samples in transaction : 3, number of failing samples : 0",script_1 1-5,,true,,22842,3472,6,6,null,0,4,0
1723640338401,3,HTTP Request,200,OK,script_1 1-5,text,true,,6969,689,6,6,http://localhost/banking/customer_reg_form.php,3,0,0
1723640338405,5,HTTP Request,200,OK,script_1 1-5,text,true,,11524,1999,6,6,http://localhost/banking/cust_regfrm_confirm.php,2,0,0
1723640338405,2,HTTP Request-0,302,Found,script_1 1-5,text,true,,7175,1140,6,6,http://localhost/banking/customer_reg_form.php,2,0,0
1723640338407,3,HTTP Request-1,200,OK,script_1 1-5,text,true,,4349,859,6,6,http://localhost/banking/cust_regfrm_confirm.php,3,0,0
1723640338413,4,HTTP Request,200,OK,script_1 1-5,text,true,,4349,784,6,6,http://localhost/banking/cust_regfrm_confirm.php,4,0,0
1723640338418,23,Tnx_03_view_acc_details_n_submit,200,"Number of samples in transaction : 2, number of failing samples : 0",script_1 1-5,,true,,10984,1628,6,6,null,0,10,0
1723640338418,22,HTTP Request,200,OK,script_1 1-5,text,true,,4584,902,6,6,http://localhost/banking/cust_regfrm_confirm.php,22,0,0
1723640338450,1,HTTP Request,200,OK,script_1 1-5,text,true,,6400,726,6,6,http://localhost/banking/index.php,1,0,0
1723640368367,2,Tnx_01_Launch,200,"Number of samples in transaction : 1, number of failing samples : 0",script_1 1-4,,true,,6401,651,7,7,null,0,1,0
1723640368368,2,HTTP Request,200,OK,script_1 1-4,text,true,,6401,651,7,7,http://localhost/banking/,2,0,0
1723640368370,7,Tnx_02_Click_open_Acc,200,"Number of samples in transaction : 3, number of failing samples : 0",script_1 1-4,,true,,22844,3473,7,7,null,0,0,0
1723640368370,1,HTTP Request,200,OK,script_1 1-4,text,true,,6969,689,7,7,http://localhost/banking/customer_reg_form.php,1,0,0
1723640368371,5,HTTP Request,200,OK,script_1 1-4,text,true,,11525,2000,7,7,http://localhost/banking/cust_regfrm_confirm.php,3,0,0
1723640368371,3,HTTP Request-0,302,Found,script_1 1-4,text,true,,7175,1141,7,7,http://localhost/banking/customer_reg_form.php,3,0,0
1723640368374,2,HTTP Request-1,200,OK,script_1 1-4,text,true,,4350,859,7,7,http://localhost/banking/cust_regfrm_confirm.php,2,0,0
1723640368376,1,HTTP Request,200,OK,script_1 1-4,text,true,,4350,784,7,7,http://localhost/banking/cust_regfrm_confirm.php,1,0,0
1723640368377,26,Tnx_03_view_acc_details_n_submit,200,"Number of samples in transaction : 2, number of failing samples : 0",script_1 1-4,,true,,10985,1628,7,7,null,0,5,0
1723640368378,25,HTTP Request,200,OK,script_1 1-4,text,true,,4585,902,7,7,http://localhost/banking/cust_regfrm_confirm.php,25,0,0
1723640368407,1,HTTP Request,200,OK,script_1 1-4,text,true,,6400,726,7,7,http://localhost/banking/index.php,1,0,0
